job_id,title,employer,lang,english_flag,municipality,region,city,streetAddress,url,text_excerpt
30696279,AI Engineer to a startup within RegTech,Regulatory Knowledge Europe AB,en,False,,,,,,"Join the journey of a lifetime. We are a regulatory expert and AI platform for modern banks to solve a $500bn problem. Product is in early testing with live customers.   We enable Treasury and Risk experts, Advisors and Lawyers to make quicker and more informed decisions for banks. Co-create workflo..."
30696084,Senior Account Manager inom Elladdningsbranchen,Kraftsam Rekrytering & Bemanning AB,en,False,,,,,,"Vi söker efter en senior Account Manager inom Elladdningsbranchen! Om rollen Vår kund är ett företag specialiserat på elbilsladdning för bostadsrättsföreningar. De erbjuder installation, drift och finansiering av laddningsanläggningar för att boende enkelt ska kunna ladda sina elbilar hemma. Nu söke..."
30696062,Steel Sales Account Manager - Automotive,Stegra AB,en,False,,,,,,"Studies show that women and underrepresented groups often hesitate to apply unless they meet every requirement. At Stegra, we’re building an impact-driven, sustainable company - and we need a diverse, inclusive team to make it happen. If you share our passion but don’t meet every qualification, we e..."
30696041,Säkerhetschef sökes till Södertörns tingsrätt ,Sveriges Domstolar,sv,True,,,,,,Är du utbildad ordningsvakt med chefserfarenhet och vana att arbeta med operativa säkerhetsfrågor? Har du dessutom en god känsla för service och ett starkt engagemang för att skapa en säker och trygg miljö för besökare och medarbetare? Då kan tjänsten som chef för säkerhetsenheten hos oss vara rätt ...
30695945,Cyber Security (IAM) Analyst to work,Professional Galaxy AB,en,False,,,,,,"Professional Galaxy is an IT and technology consulting company that provides highly specialized expertise within IT, software development, SAP, purchasing, electronics and mechanical design. We collaborate with experienced senior experts and deliver strategic value-creating expertise to some of Swed..."
30695706,IT- och informationssäkerhetsansvarig,Svevia AB (publ),sv,True,,,,,,Att bygga och sköta om vägar och infrastruktur är stort. Att skydda vår digitala miljö är ännu större. Hos oss får du göra både och. Nu söker vi en IT- och informationssäkerhetsansvarig med särskilt fokus på operativa och taktiska arbetsuppgifter – och med förmåga att lyfta blicken till de strategis...
30695617,Senior IT-Säkerhetstekniker,Sway Sourcing Sweden AB,no,True,,,,,,"Om uppdraget 🔐 Vi söker en senior Senior IT-Säkerhetstekniker till ett långsiktigt konsultuppdrag hos en aktör inom offentlig sektor. Uppdraget genomförs i en avancerad nät- och säkerhetsmiljö där fokus ligger på drift, installation, konfigurering och automatisering av organisationens säkerhetsinfra..."
30695052,Automation Engineer to Polygon Group,Wise Group AB,en,False,,,,,,"Do you want to play a key role in a global organization where automation drives real business impact? Do you enjoy taking ownership, shaping smart solutions, and working closely with stakeholders across countries?  If you're motivated by influence, responsibility and real change — this might be your..."
30694973,Senior Embedded Software Tech Lead & Line Manager,Avaron AB,en,False,,,,,,Om företaget Avaron AB är ett växande konsultbolag som matchar din spetskompetens med marknadens mest intressanta uppdrag och erbjuder en plattform där din utveckling står i centrum. Om uppdraget Vi söker en mycket senior teknisk ledare till ett pågående och affärskritiskt produktutvecklingsprogram ...
30695022,AI Adoption Driver,"Nordea Bank Abp, Filial i Sverige",en,False,,,,,,"Job ID: 3093   Welcome to Group Technology, where we pride ourselves on engineering solutions and platforms with a direct impact to Nordea’s 2030 strategy goals to modernize our data technology state and accelerate AI across the organization. We are looking for an enthusiastic and detail-oriented pe..."
30695010,Technical Project Lead – Product Integration & Validation,Avaron AB,en,False,,,,,,Om företaget Avaron AB är ett växande konsultbolag som matchar din spetskompetens med marknadens mest intressanta uppdrag och erbjuder en plattform där din utveckling står i centrum. Om uppdraget I det här uppdraget ansvarar du för produktens tekniska leverans med fokus på integration och verifierin...
30694918,Tactical Supervisor,Luftfartsverket,en,False,,,,,,"Vill du vara med och leda, stödja och utveckla det operativa arbetet på Stockholm Approach? Vi söker nu en Tactical Supervisor som tillsammans med teamet säkerställer effektiv drift och skapar förutsättningar för medarbetarnas utveckling.  Om tjänsten En Route ansvarar för den dagliga driften vid ko..."
30694846,Embedded Software Engineer to ALTEN Sweden in Stockholm!,Alten Sverige AB,en,False,,,,,,"We are looking for a driven Embedded Software Engineer to join our team in Stockholm. In this role, you will contribute to the development of high-quality embedded systems, working on real-time and resource-constrained applications. You’ll be part of a collaborative environment where your expertise ..."
30694791,Strategic Managed Service Sales Lead | Client & Industries | Nordics,Ernst & Young AB,en,False,,,,,,"Shape the future of managed services by leading high impact, technology enabled deals at scale. You thrive in complex environments in a sector, build trusted C-suite relationships, and turn long-term vision into near-term wins. If you want to drive growth, influence strategy, and showcase true end-t..."
30694724,KRYPTOLOG TILL AVDELNINGEN FÖR KRYPTO OCH IT-SÄKERHET VID MUST,Försvarsmakten,de,True,,,,,,Vill du ha ett meningsfullt arbete och bidra till ett säkrare Sverige i en osäker värld? Sök dig i så fall till oss på Must! Vi behöver fler kryptologer som vill arbeta med de kryptosystem som skyddar Sveriges säkerhet. Som kryptolog på avdelningen för krypto och IT-säkerhet arbetar du tillsammans m...
30694669,Senior Platform Engineer,H & M Hennes & Mauritz Gbc AB,en,False,,,,,,"Job Description   As a Senior Platform Engineer, you play a critical role in maintaining and evolving our enterprise integration platforms. This role blends engineering and operations, ensuring our platforms are not only reliable today but improved for tomorrow. You will focus heavily on proactive e..."
30694565,Change Control Coordinator till IT-transformation inom bank,Sway Sourcing Sweden AB,en,False,,,,,,Vi söker en Change Control Coordinator till ett konsultuppdrag i Stockholm. Uppdraget är en del av ett större transformationsprogram där en ny IT-plattform och ett framtida arbetssätt inom Custody implementeras. I rollen ingår du i programmets change management-team och ansvarar för att koordinera c...
30694462,Embedded Software Developer in Stockholm,Axis Communications AB,en,False,,,,,,"At Axis, we've always been about pushing the boundaries in pursuit of innovating for a smarter, safer world. We do this by developing IP-based products and innovations for security and video surveillance. We are expanding our Stockholm team and looking for an Embedded Developer interested to work in..."
30694460,It-säkerhetstekniker med fokus på nät- och brandväggsautomation,Avaron AB,sv,True,,,,,,Om företaget Avaron AB är ett växande konsultbolag som matchar din spetskompetens med marknadens mest intressanta uppdrag och erbjuder en plattform där din utveckling står i centrum. Om uppdraget Vi söker en It-säkerhetstekniker som vill bidra i en samhällsviktig organisation med fokus på nätsäkerhe...
30690103,Clinical Research Associate I,Parexel Sweden AB,en,False,,,,,,"Parexel is currently seeking Clinical Research Associates to join our team in Sweden. At Parexel, the CRA role offers the opportunity to go beyond the role of a typical clinical monitor. CRA’s are accountable for using their expertise to build and maintain the site relationship and ensure they’re se..."
30694350,Receptionist till ambulerande pool,KFX HR-partner Skandinavien AB,en,False,,,,,,Om tjänsten Är du en servicestjärna som vill ta nästa steg i arbetslivet och söker ett varierande arbete inom reception och administration? Trivs du på olika arbetsplatser och tycker om en omväxlande vardag? Då kan du vara rätt person för rollen som ambulerande receptionist till våra kunder i Storst...
30693608,Senior IT Project Managers,MultiMind Holding AB,en,False,,,,,,"For one of our clients within the energy sector, we are currently looking for two Senior IT Project Managers to lead strategically important IT transformation initiatives within Customer IT in the Nordics. The assignments are within the Contract & Billing domain. One consultant will manage two separ..."
30693513,Säljare till The Magnum Ice Cream Company – Stockholm Norra,Storesupport Sverige AB,en,False,,,,,,"Job&Talent är en del av Storesupport. När du klickar på ""Ansök här"" kommer du att dirigeras vidare till Job&talent.  Om företaget: The Magnum Ice Cream Company är en ledande aktör inom glass och står bakom några av världens mest ikoniska varumärken, såsom Magnum och Ben & Jerry’s. Med starka varumär..."
30693364,Senior Private & Corporate Executive Assistant till VD,Asta Agency AB,en,False,,,,,,"Om bolaget Vi på Asta Agency samarbetar med en entreprenör och VD med omfattande engagemang i flera bolag. Tjänsten är placerad i VD:s egna bolag, där du arbetar nära ägaren och blir en central del av hans Private Office. Detta är en förtroendebaserad roll med stort mandat och bred exponering. Du få..."
30693278,Trainee Patent Attorney - Potter Clarkson KB,Potter Clarkson AB,en,False,,,,,,"WHO ARE POTTER CLARKSON KB? Potter Clarkson is an award-winning, top-tier firm of European patent and trade mark attorneys and IP lawyers, and one of the largest full-service intellectual property practices in Europe. They have offices in the UK, Sweden and Denmark. WHY CHOOSE POTTER CLARKSON? Advis..."
30693212,Senior Associate - Potter Clarkson KB,Potter Clarkson AB,en,False,,,,,,"WHO ARE POTTER CLARKSON KB? Potter Clarkson is an award-winning, top-tier firm of European patent and trade mark attorneys and IP lawyers, and one of the largest full-service intellectual property practices in Europe. They have offices in the UK, Sweden and Denmark. WHY CHOOSE POTTER CLARKSON? Advis..."
30693186,"Customer Support Associate, Sweden",Sellhelp AB,en,False,,,,,,"We hope you are inspired to change the world for the better through your work and helping our customers with a wide variety of challenges.  💙 Sellpy’s vision is to empower everyone to live circularly. We see a tremendous financial, social and environmental value in making sure unused items are put t..."
30693162,Technical Product Owner - Fulfillment,Sellhelp AB,en,False,,,,,,"Join us in building the systems that power Sellpy’s entire proprietary logistics engine — from warehouses to carriers, delivery promises, automation and everything in between. 💙 Sellpy’s vision is to empower everyone to live circularly. We see a tremendous financial, social and environmental value i..."
30692621,Receptionist,Randstad AB,en,False,,,,,,Arbetsbeskrivning Vi söker nu den rätta stjärnan för rollen som Office Coordinator till ett internationellt företag baserade i centrala Stockholm. Som Office Coordinator kommer du att vara den som koordinerar och hanterar dagliga uppgifter som rör kontoret och kontorsmiljön. Du kommer att vara vårt ...
30692603,Frontlinjen för säkerhet – larmoperatörer till Stockholm,Avarn Security Systems AB,sv,True,,,,,,"Om Avarn Security  Vill du arbeta i en bevakningscentral med ett stort antal kamerainstallationer och en mängd olika service-/ jouruppdrag. Vi har som mål att ständigt ligga i framkant, leda utvecklingen samt bidra till en säker och stabil drift för våra kunder. En effektiv bevakningscentral kännete..."
30692605,Frontlinjen för säkerhet – larmoperatörer till Stockholm,Avarn Security AB,sv,True,,,,,,"Om Avarn Security  Vill du arbeta i en bevakningscentral med ett stort antal kamerainstallationer och en mängd olika service-/ jouruppdrag. Vi har som mål att ständigt ligga i framkant, leda utvecklingen samt bidra till en säker och stabil drift för våra kunder. En effektiv bevakningscentral kännete..."
30692035,Business Advisor till Citedo,Performiq AB,en,False,,,,,,"Tjänstebeskrivning & erbjudande Citedo är en ledande IT-tjänsteleverantör som hjälper små och medelstora företag med IT-lösningar, print och konferensteknik. Med över 80 medarbetare och lokal närvaro på flera orter siktar Citedo på att bli den bästa IT-tjänsteleverantören i Sverige.  Nu söker vi dig..."
30691925,"Senior Key Account Manager, Network Innovations Sweden AB",Addilon Professionals AB,en,False,,,,,,"I rollen som Senior Key Account Manager på nordisk nivå ansvarar du för att utveckla och växa våra mest strategiskt viktiga kunder inom försvar, myndigheter och industriella sektorer. Du driver både befintliga och nya affärer inom satellitkommunikation (Satcom), RF‑teknik och avancerade kommunikatio..."
30691634,Senior Product Quality Engineer to Mycronic!,Academic Work Sweden AB,en,False,,,,,,"Mycronic is a global high-tech company that has been driving the electronics industry forward for over 50 years. We continue to grow and support customers across an increasing number of industries, and what we do shapes the technologies that define the society of the future - how we live our lives t..."
30691632,Automation/Ignition Developer to Scania I-talent 2026!,Academic Work Sweden AB,en,False,,,,,,"For the tenth time, Scania is launching its popular I-Talent Program! The I-Talent Program at Scania is an inspiring six-month journey designed for newly graduated IT students with a passion for innovation and sustainability. You’ll gain hands-on experience in a specialized IT role, access to traini..."
