job_id,title,employer,lang,english_flag,municipality,region,city,streetAddress,url,text_excerpt
30484300,Receptionist till Centrala Stockholm,Andara Group AB,sv,True,,,,,,"Välkommen till en möjlighet där du står i centrum för möten, service och kommunikation i hjärtat av Stockholm! Vi söker nu en engagerad receptionist till vår kund i centrala Stockholm för ett hyrköp. Här blir du företagets ansikte utåt och en viktig del av ett professionellt team där hög servicenivå..."
30484210,Senior Testare med utvecklingskompetens (.NET / C#),Edge of Talent AB,sv,True,,,,,,"Vi söker nu en mycket erfaren testare med utvecklingskompetens inom C# och .NET till ett långsiktigt konsultuppdrag hos en större organisation inom samhällskritisk verksamhet. Uppdraget ger dig möjlighet att vara med och bygga upp en modern teststrategi och kvalitetssäkra en ny, framtida trafikhante..."
30484206,Handläggare informationssäkerhet,Devotum AB,sv,True,,,,,,För vår kunds räkning söker vi just nu en handläggare inom säkerhet till Stockholm. Uppdraget är på heltid och förväntas starta 2026-03-29 och pågå till och med 2026-12-31 med möjlighet till förlängning.  Om uppdraget Ditt uppdrag som handläggare kommer riktas mot informationssäkerhetsområdet inom f...
30484132,Analytiker - Verksamhetsspecialist till Statens internbank inom Riksgälden,Riksgäldskontoret,sv,True,,,,,,Vill du tillsammans med kunniga kollegor bidra i Riksgäldens arbete med finansiella tjänster för myndigheter? Har du erfarenhet av arbete inom statlig myndighet eller finanssektorn? Detta är en tjänst för dig som vill bli specialist på hur finansieringen av myndigheternas verksamhet fungerar och job...
30484127,Handläggare - Informationssäkerhet,Jobbusters AB,sv,True,,,,,,"Din nya roll  Vill du arbeta i skärningspunkten mellan informationssäkerhet, samhällsnytta och säkerhetsskydd? Nu söker vi en handläggare inom informationssäkerhet till ett uppdrag i en samhällsbärande verksamhet där tillförlitlighet och ansvar är helt avgörande. I rollen blir du en viktig del av sä..."
30484090,"Vikarierande lärare i Ma/No/Tk åk7-9, Kämpetorpsskolan",Stockholms kommun,sv,True,,,,,,"Stockholm – vår huvudstad med miljoner drömmar, förväntningar och ambitioner. Vi jobbar för alla som lever här idag och i framtiden. Nu söker vi dig som vill tänka stort, nytt och annorlunda med oss – för stockholmarna.    Arbetsplatsbeskrivning  Kämpetorpsskolan är belägen mitt i Älvsjö och har c..."
30484117,Handläggare till offentlig sektor i Stockholm!,Sway Sourcing Sweden AB,sv,True,,,,,,"Vill du arbeta med informationssäkerhet där struktur, tillit och samhällsnytta står i centrum? Är du trygg i offentlig förvaltning och vill bidra i en verksamhet med höga krav på säkerhet och sekretess? Då kan detta uppdrag vara helt rätt för dig 💼 🎯Om uppdraget I rollen som Handläggare inom informa..."
30484086,Erfaren Business controller till Stockholm,SAMHALL AB,sv,True,,,,,,"Om Samhall  I Sverige saknar 250 000 personer med en funktionsnedsättning ett arbete att gå till. Det är därför Samhall finns – för att skapa meningsfulla jobb för dem som står utanför arbetsmarknaden. Vår vision är ""En arbetsmarknad där alla ses som en tillgång"" och vi tror att du som läser detta k..."
30484025,Sambandscontroller,Säkerhetspolisen,sv,True,,,,,,"Trivs du med att arbeta i en koordinerande roll där samverkan, struktur och operativ skicklighet står i fokus? Vi söker nu en initiativrik och handlingskraftig sambandscontroller som vill arbeta i en operativ miljö hos oss på Säkerhetspolisen. Välkommen med din ansökan. Vårt uppdrag är Sveriges säke..."
30484022,Serviceinriktad receptionist sökes till företag på Lidingö!,Carotte Staff AB,sv,True,,,,,,"Om rollen Som uppdragskonsult arbetar du vid behov ute hos våra kunder, främst inom reception på kontor, coworking, konferens och besöksnäring. I denna tjänst avser uppdraget i första hand ett företag beläget på Lidingö, där du blir en viktig del av den dagliga serviceleveransen. För dig som bor i n..."
30484007,Platschef bygg åt kund,Bustos Konsulttjänster AB,sv,True,,,,,,"Vem är du? För att trivas i rollen som platschef hos vår kund behöver du ha en flerårig erfarenhet av att arbeta med bostadsprojekt där du har haft befattningen som platschef. Du som platschef kommer att bära ansvaret för den dagliga planeringen, produktionen, ekonomiska uppföljningen, samt kund- oc..."
30483916,Transport Center Controller,H & M Hennes & Mauritz Gbc AB,en,False,,,,,,"WHAT YOU’LL DO​ Our Transport Teams are centralized into three local hubs across Europe, known as Cluster Transport Operations Centers (CTOCs), located in the Poznań area (Poland), Madrid area (Spain), and Stockholm (Sweden). These centers enable collaborative resource pooling, centralized expertise..."
30476932,Social Media Consultant - Tech & Gaming,Bubbl AB,en,False,,,,,,"ABOUT Bubbl AB is a technology consulting company providing specialist expertise in software development, gaming, and digital products to clients in Sweden and internationally. Our consultants work as developers, game programmers, technical leads, and product managers. We are now looking for a Socia..."
30483872,Ekonomiassistent till kund och leverantörsreskontran,SJR in Sweden AB,sv,True,,,,,,"Som erfaren ekonomiassistent inom kund- och leverantörsreskontra, som gärna arbetar med stora flöden och är van vid att navigera mellan olika ekonomisystem, är du precis den konsult SJR söker för vårt nästa spännande uppdrag.  Om tjänsten SJR tillsätter nu en Ekonomiassistent inom kund- & leverantör..."
30483890,Handläggare informationssäkerhet,Future People AB,sv,True,,,,,,Vi på Future People söker en handläggare till vår kund i centrala Stockholm. Som konsult hos oss får du möjlighet till ett spännande uppdrag hos en av våra kunder samtidigt som du fortsätter att utvecklas inom ditt kompetensområde. Vi är mycket måna om att du ska trivas hos oss och på ditt uppdrag. ...
30483849,Servicekoordinator för studenter,Devotum AB,sv,True,,,,,,För vår kunds räkning söker vi just nu en student Stockholm. Uppdraget är en behovsanställning och förväntas starta 2026-01-28 och pågå till och med 2026-01-27.  Om uppdraget Kund är i behov av en vikarierande servicekoordinator som kan hoppa in akut vid sjukdom.  Beskrivning av uppdraget/rollen   D...
30483837,Driftledare,Iss Facility Services AB,sv,True,,,,,,"ISS är ett av världens största tjänsteföretag och snart firar vi 80 år i Sverige! Med över 6500 medarbetare i landet, från norr till söder, levererar vi service som gör skillnad. Vi erbjuder våra kunder allt från städning till teknisk service, mat- och arbetsplatstjänster. Vi skapar arbetsplatser dä..."
30483599,Uppdragsledare inom IT till underrättelsesystem,Polismyndigheten,sv,True,,,,,,Vill du bidra i arbetet vid framtagandet av underrättelsetjänstens system och förhindra grov organiserad brottslighet? Arbetsplatsbeskrivning Till gruppen Underrättelsesystem söker Polismyndigheten nu en erfaren uppdragsledare. Som anställd på IT-avdelningen är du delaktig i ett viktigt samhällsuppd...
30483717,Product Manager,Legora AB,en,False,,,,,,"The role As a Product Manager at Legora, you will own the product vision and drive the development of solutions that create real value for our customers. You’ll work at the intersection of business, tech, and design in a fast-moving B2B environment, with significant influence over both strategy and ..."
